clock_period_ns,clock_cycles_per_block,block_size_bits,total_cell_area,static_power_mw,dynamic_power_mw,total_power_mw,throughput_gbps,energy_per_bit_pj,worst_slack_ns,status
10,240,1088,43698.68854,0.2768897,1.6115,1.8883897,0.453333333,4.16556552,1.46,OK
9.9,240,1088,43690.97734,0.2771599,1.6272,1.9043599,0.457912458,4.15878596,0.79,OK
9.8,240,1088,43690.97734,0.2775849,1.6426,1.9201849,0.462585034,4.15098795,1.66,OK
9.7,240,1088,43695.05974,0.2771027,1.6602,1.9373027,0.467353952,4.14525798,1.75,OK
9.6,240,1088,43712.06974,0.2775786,1.6789,1.9564786,0.472222222,4.14313115,1.77,OK
9.5,240,1088,43690.75054,0.2770846,1.6939,1.9709846,0.477192982,4.13037214,1.8,OK
9.4,240,1088,43708.66774,0.2775571,1.7145,1.9920571,0.482269504,4.13058898,1.67,OK
9.3,240,1088,43700.27614,0.2772758,1.7308,2.0080758,0.487455197,4.11950844,1.91,OK
9.2,240,1088,43705.03894,0.2771548,1.7511,2.0282548,0.492753623,4.11616415,1.81,OK
9.1,240,1088,43698.00814,0.277202,1.7673,2.044502,0.498168498,4.1040371,1.6,OK
9,240,1088,43659.90574,0.2772464,1.7885,2.0657464,0.503703704,4.10111417,1.11,OK
8.9,240,1088,43675.55494,0.2772597,1.8088,2.0860597,0.509363296,4.09542603,1.36,OK
8.8,240,1088,43695.28654,0.2768927,1.8308,2.1076927,0.515151515,4.09140348,1.31,OK
8.7,240,1088,43688.25574,0.2772113,1.85,2.1272113,0.521072797,4.08236874,1.38,OK
8.6,240,1088,43686.21454,0.2770915,1.8725,2.1495915,0.527131783,4.07790152,1.21,OK
8.5,240,1088,43693.69894,0.2773157,1.8935,2.1708157,0.533333333,4.07027944,1.28,OK
8.4,240,1088,43688.48254,0.277129,1.9159,2.193029,0.53968254,4.06355373,1.27,OK
8.3,240,1088,43696.42054,0.2769719,1.9424,2.2193719,0.546184739,4.06340885,0.82,OK
8.2,240,1088,43668.75094,0.2773985,1.965,2.2423985,0.552845528,4.05610317,1.47,OK
8.1,240,1088,43688.02894,0.2768874,1.9866,2.2634874,0.559670782,4.0443194,1.02,OK
8,240,1088,43698.68854,0.2770132,2.0132,2.2902132,0.566666667,4.0415527,1.46,OK
7.9,240,1088,43675.32814,0.2771875,2.0385,2.3156875,0.573839662,4.03542601,1,OK
7.8,240,1088,43698.68854,0.2769271,2.0645,2.3414271,0.581196581,4.02863192,1.39,OK
7.7,240,1088,43702.77094,0.2771837,2.0926,2.3697837,0.588744589,4.02514731,1.38,OK
7.6,240,1088,43683.26614,0.2773362,2.1181,2.3954362,0.596491228,4.01587834,0.92,OK
7.5,240,1088,43693.47214,0.2772238,2.1453,2.4225238,0.604444444,4.00785188,1.21,OK
7.4,240,1088,43677.82294,0.277661,2.1771,2.454761,0.612612613,4.00703634,1.06,OK
7.3,240,1088,43685.30734,0.2775782,2.2079,2.4854782,0.621004566,4.00235093,1.17,OK
7.2,240,1088,43686.89494,0.2774236,2.2344,2.5118236,0.62962963,3.98936689,0.63,OK
7.1,240,1088,43687.12174,0.278054,2.2695,2.547554,0.638497653,3.98991913,0.94,OK
7,240,1088,43684.40014,0.2775294,2.2998,2.5773294,0.647619048,3.97969981,1.11,OK
6.9,240,1088,43683.71974,0.2772734,2.3319,2.6091734,0.657004831,3.9713154,1.14,OK
6.8,240,1088,43683.03934,0.2774046,2.3669,2.6443046,0.666666667,3.9664569,0.93,OK
6.7,240,1088,43680.54454,0.2773222,2.402,2.6793222,0.676616915,3.95988061,0.78,OK
6.6,240,1088,43660.58614,0.2776012,2.4388,2.7164012,0.686868687,3.95476057,0.95,OK
6.5,240,1088,43666.48294,0.2776511,2.4763,2.7539511,0.697435897,3.94867989,0.94,OK
6.4,240,1088,43693.24534,0.2777125,2.5158,2.7935125,0.708333333,3.94378235,0.5,OK
6.3,240,1088,43680.99814,0.277382,2.5713,2.848682,0.71957672,3.95883013,0.68,OK
6.2,240,1088,43681.67854,0.2775114,2.5986,2.8761114,0.731182796,3.9335053,0.5,OK
6.1,240,1088,43672.60654,0.2781521,2.638,2.9161521,0.743169399,3.92393996,0.47,OK
…,,,,,,,,,,
5,240,1088,43673.96734,0.277775,3.2274,3.505175,0.906666667,3.86600184,0.16,OK
4.9,240,1088,43677.36934,0.2771518,3.2959,3.5730518,0.925170068,3.86204864,0.04,OK
4.8,240,1088,43696.64734,0.2865157,3.374,3.6605157,0.944444444,3.87584015,0,OK
4.7,240,1088,43688.25574,0.2906168,3.4636,3.7542168,0.964539007,3.89223948,0.07,OK
4.6,240,1088,43683.49294,0.2784967,3.5249,3.8033967,0.985507246,3.85932901,0.04,OK
4.5,240,1088,43676.68894,0.285407,3.5933,3.878707,1.00740741,3.85018709,0.16,OK
4.4,240,1088,43661.49334,0.2797855,3.679,3.9587855,1.03030303,3.84235063,0.05,OK
4.3,240,1088,43649.24614,0.2926154,3.7707,4.0633154,1.05426357,3.85417415,0.01,OK
